Country,GDP_Nominal_Per_Capita,GDP_PPP_Per_Capita,Avg_Annual_Wage_USD_PPP_2023,Average_Hours_Worked_2023
Germany,53940.4073447462,68692.894466622,66153.02874343922,1342.65
Japan,33836.1756271617,49896.6436902018,47764.25039567103,1607.0
United Kingdom,49200.8101526146,57915.4940036535,60997.8976348308,1524.0
France,44690.9345395117,58317.828030698,58417.503024254394,1487.1
Italy,39065.4244365633,57893.4083587152,49067.23843503382,1734.41
Canada,54220.3285039875,64462.9211694495,67313.87333948955,1685.01
Spain,33509.0127982139,53229.922021795,52899.32507375302,1632.28
South Korea,33121.3712885508,52203.9685660494,Missing,1895.79
Australia,64835.9199754535,70513.4748706981,68404.4903168538,1713.11
Mexico,13826.1306570122,24854.5822142309,20238.583867716574,2206.63
Netherlands,64572.0059558854,78305.2888358968,72413.24702727862,1449.19
Poland,22145.2643088909,46757.5401841254,40386.313503892125,1803.0
Belgium,54690.0942734964,69059.1768269112,73493.89407036724,1436.96
Sweden,55567.0890080496,67258.8461000938,57366.045042446254,1437.0
Ireland,103887.800388081,124900.938635241,58871.70424477441,1632.85
Austria,56033.573792065,70478.7873635411,71477.27185101372,1435.0
Norway,87497.3289297342,100437.326744584,72877.14037603347,1418.43
Denmark,68453.8769281145,73737.4475447105,69415.37016105822,1379.95
Czechia,31591.0568216357,53217.2191709182,35890.40835931759,1774.17
Chile,17067.0364799154,32801.3786378418,37037.38985112184,1961.92
